Date,Recovered,Deaths
1/22/20,0,0
1/23/20,0,0
1/24/20,0,0
1/25/20,0,0
1/26/20,0,0
1/27/20,0,0
1/28/20,0,0
1/29/20,0,0
1/30/20,0,0
1/31/20,0,0
2002/1/20,0,0
2002/2/20,0,0
2002/3/20,0,0
2002/4/20,0,0
2002/5/20,0,0
2002/6/20,0,0
2002/7/20,1,0
2002/8/20,1,0
2002/9/20,1,0
2002/10/20,1,0
2002/11/20,3,0
2002/12/20,3,0
2/13/20,3,0
2/14/20,3,0
2/15/20,7,0
2/16/20,7,0
2/17/20,7,0
2/18/20,13,0
2/19/20,15,0
2/20/20,15,0
2/21/20,15,0
2/22/20,15,0
2/23/20,15,0
2/24/20,18,0
2/25/20,18,0
2/26/20,18,0
2/27/20,18,0
2/28/20,18,0
2/29/20,18,0
2003/1/20,18,0
2003/2/20,18,0
2003/3/20,22,0
2003/4/20,22,0
2003/5/20,22,0
2003/6/20,22,0
2003/7/20,23,0
2003/8/20,24,0
2003/9/20,24,0
2003/10/20,24,0
2003/11/20,26,0
2003/12/20,26,0
3/13/20,26,0
3/14/20,35,0
3/15/20,42,0
3/16/20,42,0
3/17/20,49,2
3/18/20,60,2
3/19/20,75,2
3/20/20,87,3
3/21/20,114,4
3/22/20,139,10
3/23/20,139,14
3/24/20,183,16
3/25/20,199,20
3/26/20,215,23
3/27/20,259,26
3/28/20,320,27
3/29/20,388,35
3/30/20,479,37
3/31/20,537,43
2004/1/20,645,45
2004/2/20,767,50
2004/3/20,827,53
2004/4/20,915,57
2004/5/20,1005,61
2004/6/20,1241,62
2004/7/20,1321,63
2004/8/20,1487,65
2004/9/20,1608,67
2004/10/20,1830,70
2004/11/20,1995,73
2004/12/20,2108,76
4/13/20,2276,77
4/14/20,2478,82
4/15/20,2647,83
4/16/20,2766,84
4/17/20,2967,86
4/18/20,3102,88
4/19/20,3197,89
4/20/20,3295,89
4/21/20,3349,92
4/22/20,3452,93
4/23/20,3542,95
4/24/20,3663,96
4/25/20,3762,98
4/26/20,3862,98
4/27/20,3957,99
4/28/20,4032,100
4/29/20,4087,100
4/30/20,4171,102
2005/1/20,4210,103
2005/2/20,4326,103
2005/3/20,4413,105
2005/4/20,4484,105
2005/5/20,4567,106
2005/6/20,4702,107
2005/7/20,4776,107
2005/8/20,4864,107
2005/9/20,4929,108
2005/10/20,5025,108
2005/11/20,5113,109
2005/12/20,5223,109
5/13/20,5281,111
5/14/20,5351,112
5/15/20,5439,112
5/16/20,5512,113
5/17/20,5571,113
5/18/20,5615,113
5/19/20,5646,114
5/20/20,5706,114
5/21/20,5796,114
5/22/20,5859,115
5/23/20,5912,115
5/24/20,5945,115
5/25/20,5979,115
5/26/20,6041,115
5/27/20,6083,115
5/28/20,6169,115
5/29/20,6235,115
5/30/20,6330,115
5/31/20,6353,115
2006/1/20,6404,115
2006/2/20,6470,115
2006/3/20,6531,115
2006/4/20,6559,115
2006/5/20,6610,116
2006/6/20,6635,117
2006/7/20,6674,117
